Date-py,Symbol,Abs_Pct_Change
2023-11-12,BTC-USD,0.0022492093215884523
2023-11-15,BTC-USD,0.06592844540225729
2023-11-16,BTC-USD,0.04555929205716058
2023-11-18,BTC-USD,0.00030003975559689255
2023-11-19,BTC-USD,0.021889527369594708
2023-11-21,BTC-USD,0.04437779002891473
2023-11-22,BTC-USD,0.04519282441655714
2023-11-23,BTC-USD,0.0038127124996736317
2023-11-25,BTC-USD,0.0020283973890040663
2023-11-26,BTC-USD,0.008404731064144633
2023-12-02,BTC-USD,0.02035687454363333
2023-12-03,BTC-USD,0.012717964769838996
2023-12-04,BTC-USD,0.05006972513040342
2023-12-05,BTC-USD,0.05003682452128899
2023-12-09,BTC-USD,0.009976252743861824
2023-12-10,BTC-USD,0.0012284420982542343
2023-12-11,BTC-USD,0.05792335797596204
2023-12-13,BTC-USD,0.034752998598246876
2023-12-15,BTC-USD,0.025432678164034384
2023-12-16,BTC-USD,0.007401888210429197
2023-12-17,BTC-USD,0.020725632129809823
2023-12-18,BTC-USD,0.030433584524559132
2023-12-23,BTC-USD,0.00587208380989368
2023-12-24,BTC-USD,0.016539399611381067
2023-12-25,BTC-USD,0.013879063918367684
2023-12-26,BTC-USD,0.0250552533987507
2023-12-27,BTC-USD,0.02169436503972655
2023-12-30,BTC-USD,0.0013658151138493668
2023-12-31,BTC-USD,0.002568622313059654
2024-01-01,BTC-USD,0.04500499447683737
2024-01-02,BTC-USD,0.01790093908010948
2024-01-03,BTC-USD,0.04692812039022565
2024-01-04,BTC-USD,0.031080578712095797
2024-01-06,BTC-USD,0.003928567178781872
2024-01-07,BTC-USD,0.0010479311948115022
2024-01-08,BTC-USD,0.06889378335191321
2024-01-10,BTC-USD,0.010577583896319576
2024-01-12,BTC-USD,0.07581464689367223
2024-01-13,BTC-USD,0.0002516770757193809
2024-01-14,BTC-USD,0.02441771935607251
2024-01-15,BTC-USD,0.017123519109433882
2024-01-18,BTC-USD,0.03463972563570672
2024-01-20,BTC-USD,0.0011336255818301666
2024-01-21,BTC-USD,0.0028752932977473833
2024-01-22,BTC-USD,0.04906437469287683
2024-01-26,BTC-USD,0.04715459322533899
2024-01-27,BTC-USD,0.007250269857528746
2024-01-28,BTC-USD,0.0020052428854051563
2024-02-03,BTC-USD,0.004483166082128842
2024-02-04,BTC-USD,0.009505619501189222
2024-02-07,BTC-USD,0.02863085004884569
2024-02-09,BTC-USD,0.040741037369352195
2024-02-10,BTC-USD,0.013236801556077538
2024-02-11,BTC-USD,0.010940478444405821
2024-02-12,BTC-USD,0.03446199355856483
2024-02-14,BTC-USD,0.04190091682112329
2024-02-17,BTC-USD,0.009532306436015991
2024-02-18,BTC-USD,0.008895163362175884
2024-02-19,BTC-USD,0.0065883647395551526
2024-02-24,BTC-USD,0.01654090475335379
2024-02-25,BTC-USD,0.003143945254133529
2024-02-26,BTC-USD,0.053914352797789
2024-02-27,BTC-USD,0.0470076269570332
2024-02-28,BTC-USD,0.09493531996938098
2024-02-29,BTC-USD,0.020900898469490836
2024-03-01,BTC-USD,0.020298739001923582
2024-03-02,BTC-USD,0.0065788114487881355
2024-03-03,BTC-USD,0.018338323773339438
2024-03-04,BTC-USD,0.0817359165168321
2024-03-05,BTC-USD,0.0662840245051487
2024-03-06,BTC-USD,0.036137337513826084
2024-03-08,BTC-USD,0.02053940113746555
2024-03-09,BTC-USD,0.00291052396981506
2024-03-10,BTC-USD,0.007604594828865663
2024-03-11,BTC-USD,0.04497430711214645
2024-03-15,BTC-USD,0.027911980184628815
2024-03-16,BTC-USD,0.05891115205046704
2024-03-17,BTC-USD,0.04708722792387299
2024-03-19,BTC-USD,0.08343356977731309
2024-03-20,BTC-USD,0.09692504642544408
2024-03-21,BTC-USD,0.03566706353736904
2023-03-22,GOOG,0.0
2023-03-22,GOOG,0.0
2023-03-22,GOOG,0.0
2023-03-22,GOOG,0.0
2023-03-22,GOOG,0.0
2023-03-28,GOOG,0.016495216698917403
2023-05-04,GOOG,0.008575235339938647
2023-05-16,GOOG,0.026761260488724847
2023-05-25,GOOG,0.022278847601766127
